Name                           E041-14h
Number_of_Customers            40
Number_of_Items                79
Number_of_ItemTypes            79
Number_of_Vehicles             14
TimeWindows                    0

VEHICLE
Mass_Capacity                  60
CargoSpace_Length              60
CargoSpace_Width               25
CargoSpace_Height              30
Wheelbase                      -1
Max_Mass_FrontAxle             -1
Max_Mass_RearAxle              -1
Distance_FrontAxle_CargoSpace  -1

CUSTOMERS
i               x               y               Demand          ReadyTime       DueDate         ServiceTime     DemandedMass    DemandedVolume
0               40              40              0               0               1000000         0               0               0
1               22              22              2               0               1000000         0               18              5183
2               36              26              3               0               1000000         0               26              10012
3               21              45              1               0               1000000         0               11              4620
4               45              35              3               0               1000000         0               30              9862
5               55              20              2               0               1000000         0               21              3780
6               33              34              3               0               1000000         0               19              8782
7               50              50              1               0               1000000         0               15              1470
8               55              45              1               0               1000000         0               16              3888
9               26              59              3               0               1000000         0               29              7362
10              40              66              2               0               1000000         0               26              7026
11              55              65              1               0               1000000         0               37              2418
12              35              51              2               0               1000000         0               16              6156
13              62              35              1               0               1000000         0               12              2210
14              62              57              2               0               1000000         0               31              4640
15              62              24              2               0               1000000         0               8               6613
16              21              36              3               0               1000000         0               19              7990
17              33              44              3               0               1000000         0               20              8229
18              9               56              3               0               1000000         0               13              9857
19              62              48              2               0               1000000         0               15              4005
20              66              14              3               0               1000000         0               22              10551
21              44              13              3               0               1000000         0               28              8220
22              26              13              2               0               1000000         0               12              9480
23              11              28              3               0               1000000         0               6               7110
24              7               43              1               0               1000000         0               27              1624
25              17              64              2               0               1000000         0               14              3024
26              41              46              1               0               1000000         0               18              1625
27              55              34              2               0               1000000         0               17              3354
28              35              16              1               0               1000000         0               29              1008
29              52              26              2               0               1000000         0               13              4683
30              43              26              1               0               1000000         0               22              1008
31              31              76              1               0               1000000         0               25              1235
32              22              53              3               0               1000000         0               28              12154
33              26              29              2               0               1000000         0               27              5518
34              50              40              2               0               1000000         0               19              5605
35              55              50              2               0               1000000         0               10              4480
36              54              10              1               0               1000000         0               12              3168
37              60              15              2               0               1000000         0               14              5794
38              47              66              1               0               1000000         0               24              1140
39              30              60              2               0               1000000         0               16              5832
40              30              50              2               0               1000000         0               33              3812

ITEMS
Type            Length          Width           Height          Mass            Fragility       LoadingBearingStrength
Bt1             23              11              11              9               0               0
Bt2             32              5               15              9               0               0
Bt3             18              14              18              8.66667         0               0
Bt4             18              14              11              8.66667         0               0
Bt5             26              13              8               8.66667         1               0
Bt6             30              14              11              11              0               0
Bt7             26              5               16              10              0               0
Bt8             24              6               8               10              0               0
Bt9             30              13              17              10              1               0
Bt10            30              13              7               10.5            0               0
Bt11            35              5               6               10.5            0               0
Bt12            33              10              7               6.33333         0               0
Bt13            36              6               16              6.33333         1               0
Bt14            29              8               13              6.33333         1               0
Bt15            35              6               7               15              0               0
Bt16            36              9               12              16              1               0
Bt17            32              10              15              9.66667         0               0
Bt18            20              7               9               9.66667         0               0
Bt19            31              7               6               9.66667         1               0
Bt20            21              10              17              13              0               0
Bt21            27              8               16              13              0               0
Bt22            31              6               13              37              0               0
Bt23            36              13              7               8               0               0
Bt24            20              8               18              8               1               0
Bt25            17              10              13              12              0               0
Bt26            23              12              9               15.5            0               0
Bt27            28              7               11              15.5            1               0
Bt28            17              13              17              4               0               0
Bt29            34              12              7               4               0               0
Bt30            29              8               17              6.33333         0               0
Bt31            28              6               17              6.33333         0               0
Bt32            17              7               10              6.33333         0               0
Bt33            27              13              11              6.66667         0               0
Bt34            29              6               16              6.66667         0               0
Bt35            12              12              11              6.66667         1               0
Bt36            22              5               11              4.33333         0               0
Bt37            19              14              17              4.33333         1               0
Bt38            25              11              15              4.33333         1               0
Bt39            30              6               14              7.5             0               0
Bt40            15              11              9               7.5             0               0
Bt41            35              14              9               7.33333         0               0
Bt42            16              15              15              7.33333         0               0
Bt43            33              11              7               7.33333         0               0
Bt44            24              8               10              9.33333         0               0
Bt45            21              5               16              9.33333         0               0
Bt46            30              11              14              9.33333         1               0
Bt47            28              15              16              6               0               0
Bt48            23              12              10              6               0               0
Bt49            30              13              11              2               0               0
Bt50            28              7               9               2               0               0
Bt51            16              6               11              2               0               0
Bt52            29              8               7               27              0               0
Bt53            16              5               14              7               0               0
Bt54            17              7               16              7               1               0
Bt55            25              5               13              18              1               0
Bt56            18              11              11              8.5             0               0
Bt57            14              7               12              8.5             0               0
Bt58            16              7               9               29              0               0
Bt59            14              12              17              6.5             1               0
Bt60            29              7               9               6.5             1               0
Bt61            14              9               8               22              0               0
Bt62            19              5               13              25              0               0
Bt63            31              15              14              9.33333         0               0
Bt64            22              9               18              9.33333         0               0
Bt65            26              5               16              9.33333         0               0
Bt66            13              10              7               13.5            0               0
Bt67            24              12              16              13.5            1               0
Bt68            35              7               13              9.5             0               0
Bt69            20              11              11              9.5             0               0
Bt70            14              6               10              5               0               0
Bt71            20              13              14              5               1               0
Bt72            33              12              8               12              0               0
Bt73            17              10              13              7               0               0
Bt74            28              8               16              7               1               0
Bt75            19              10              6               24              0               0
Bt76            24              12              14              8               0               0
Bt77            20              9               10              8               0               0
Bt78            27              12              9               16.5            0               0
Bt79            16              7               8               16.5            0               0

DEMANDS PER CUSTOMER
i    Type Quantity
1    Bt1  1 Bt2  1 
2    Bt3  1 Bt4  1 Bt5  1 
3    Bt6  1 
4    Bt7  1 Bt8  1 Bt9  1 
5    Bt10 1 Bt11 1 
6    Bt12 1 Bt13 1 Bt14 1 
7    Bt15 1 
8    Bt16 1 
9    Bt17 1 Bt18 1 Bt19 1 
10   Bt20 1 Bt21 1 
11   Bt22 1 
12   Bt23 1 Bt24 1 
13   Bt25 1 
14   Bt26 1 Bt27 1 
15   Bt28 1 Bt29 1 
16   Bt30 1 Bt31 1 Bt32 1 
17   Bt33 1 Bt34 1 Bt35 1 
18   Bt36 1 Bt37 1 Bt38 1 
19   Bt39 1 Bt40 1 
20   Bt41 1 Bt42 1 Bt43 1 
21   Bt44 1 Bt45 1 Bt46 1 
22   Bt47 1 Bt48 1 
23   Bt49 1 Bt50 1 Bt51 1 
24   Bt52 1 
25   Bt53 1 Bt54 1 
26   Bt55 1 
27   Bt56 1 Bt57 1 
28   Bt58 1 
29   Bt59 1 Bt60 1 
30   Bt61 1 
31   Bt62 1 
32   Bt63 1 Bt64 1 Bt65 1 
33   Bt66 1 Bt67 1 
34   Bt68 1 Bt69 1 
35   Bt70 1 Bt71 1 
36   Bt72 1 
37   Bt73 1 Bt74 1 
38   Bt75 1 
39   Bt76 1 Bt77 1 
40   Bt78 1 Bt79 1 
